Date,Open,High,Low,Close,Adj Close,Volume,,Returns(Adj Close)
2020-04-01,380,380,353.299988,358.450012,358.450012,787017,,
2020-04-03,360.450012,362.700012,324,325.600006,325.600006,980697,,-10.09%
2020-04-07,348.100006,397.799988,343.049988,388.799988,388.799988,1674371,,16.26%
2020-04-08,388,427.649994,373.700012,391.299988,391.299988,2420419,,0.64%
2020-04-09,405.700012,422.850006,398.899994,419.899994,419.899994,1623631,,6.81%
2020-04-13,419.899994,428,401.600006,419.399994,419.399994,1235271,,-0.12%
2020-04-15,425.200012,451.5,412.649994,417.100006,417.100006,1385781,,-0.55%
2020-04-16,408,427.149994,400.850006,423.149994,423.149994,1326702,,1.43%
2020-04-17,450,486.600006,432.5,480.049988,480.049988,1654938,,11.85%
2020-04-20,481,485,451.5,455.549988,455.549988,1544099,,-5.38%
2020-04-21,439,439,413.200012,420.899994,420.899994,1804600,,-8.23%
2020-04-22,419.799988,434.399994,410.549988,431.200012,431.200012,1056967,,2.39%
2020-04-23,437,440,426,429.700012,429.700012,1327110,,-0.35%
2020-04-24,418.450012,419.450012,401.450012,404.100006,404.100006,1075649,,-6.34%
2020-04-27,414.200012,429.5,409.600006,427.299988,427.299988,1004719,,5.43%
2020-04-28,439,458.25,435.399994,455.549988,455.549988,1503750,,6.20%
2020-04-29,432,448.700012,427.5,438.850006,438.850006,2088570,,-3.81%
2020-04-30,450.950012,462,440.5,444.600006,444.600006,1192978,,1.29%
2020-05-04,424.700012,424.700012,400,402.799988,402.799988,1365905,,-10.38%
2020-05-05,415,418.700012,386.700012,389.200012,389.200012,1788178,,-3.49%
2020-05-06,385,394.5,368.100006,388.350006,388.350006,2355469,,-0.22%
2020-05-07,388.700012,402.049988,382.75,397.399994,397.399994,1087929,,2.28%
2020-05-08,404,409.649994,380,382.25,382.25,1101365,,-3.96%
2020-05-11,391,393.25,377.100006,379.950012,379.950012,954522,,-0.61%
2020-05-12,377.399994,391.649994,370,386.700012,386.700012,1133484,,1.75%
2020-05-13,411,416,399.700012,413.850006,413.850006,1477333,,6.56%
2020-05-14,402.5,411,397.649994,401.899994,401.899994,703292,,-2.97%
2020-05-15,404.399994,404.399994,387.049988,388.649994,388.649994,1630212,,-3.41%
2020-05-18,390,390,352.5,359.299988,359.299988,1886397,,-8.17%
2020-05-19,373,373,350.049988,354.700012,354.700012,1360722,,-1.30%
2020-05-20,352.049988,366.299988,350,362.899994,362.899994,1093108,,2.26%
2020-05-21,363.850006,369,354.649994,357.299988,357.299988,689211,,-1.57%
2020-05-22,353,359.549988,333.049988,337.100006,337.100006,1934421,,-5.99%
2020-05-26,340,347.5,336.5,341.399994,341.399994,1008162,,1.26%
2020-05-27,346,392.5,341.799988,387.350006,387.350006,2052248,,11.86%
2020-05-28,391.5,407.25,387.350006,390.850006,390.850006,2442967,,0.90%
2020-05-29,383,389.049988,375.350006,383.200012,383.200012,5474092,,-2.00%
2020-06-01,395,409.350006,393,396.850006,396.850006,1475746,,3.44%
2020-06-02,396.75,414.600006,391.850006,409.899994,409.899994,1428955,,3.18%
2020-06-03,420,431.950012,405.450012,409.600006,409.600006,1509863,,-0.07%
2020-06-04,409.899994,413.899994,391.649994,394.350006,394.350006,1517927,,-3.87%
2020-06-05,399.700012,409.799988,390.600006,405.450012,405.450012,1281759,,2.74%
2020-06-08,414.100006,444.549988,414.100006,430.5,430.5,2062174,,5.82%
2020-06-09,430.5,442.450012,416.5,419.899994,419.899994,1372516,,-2.52%
2020-06-10,424,433,415.299988,427.799988,427.799988,1087127,,1.85%
2020-06-11,426,435.5,409,413.450012,413.450012,1507457,,-3.47%
2020-06-12,393,412.100006,388.450012,407.899994,407.899994,1537451,,-1.36%
2020-06-15,410,410,383.799988,389.350006,389.350006,1442271,,-4.76%
2020-06-16,404.5,404.899994,360.399994,381.450012,381.450012,2910476,,-2.07%
2020-06-17,377.299988,398.200012,375.850006,389.450012,389.450012,1668853,,2.05%
2020-06-18,384,408,384,405.399994,405.399994,1297714,,3.93%
2020-06-19,405.399994,422.200012,405.399994,417,417,2713134,,2.78%
2020-06-22,420.649994,435.75,418.75,430.049988,430.049988,1435796,,3.03%
2020-06-23,431.700012,444.899994,430.049988,443.450012,443.450012,905014,,3.02%
2020-06-24,449,449.799988,422.100006,424.399994,424.399994,1004239,,-4.49%
2020-06-25,418,428.299988,410.5,421.399994,421.399994,1171159,,-0.71%
2020-06-26,426.399994,428.600006,417.75,425.049988,425.049988,684122,,0.86%
2020-06-29,414.149994,417.5,402.899994,404.75,404.75,1923032,,-5.02%
