Date,Open,High,Low,Close,Adj Close,Volume,,Returns(Adj Close)
2020-04-01,443,443,412.600006,421.100006,421.100006,468249,,
2020-04-03,423,429.649994,415.700012,423.950012,423.950012,363451,,0.67%
2020-04-07,432,473.399994,432,470.049988,470.049988,613588,,9.81%
2020-04-08,470.5,490.950012,453.299988,461.600006,461.600006,343102,,-1.83%
2020-04-09,468,492,468,489.049988,489.049988,260386,,5.61%
2020-04-13,491,520.799988,491,511.75,511.75,940396,,4.44%
2020-04-15,530,536,505.100006,509.950012,509.950012,816687,,-0.35%
2020-04-16,505,512.900024,496.950012,500.450012,500.450012,340093,,-1.90%
2020-04-17,513,513,498.399994,502.25,502.25,306709,,0.36%
2020-04-20,506.649994,507,487.25,490.399994,490.399994,478744,,-2.42%
2020-04-21,480,503.899994,479,500.850006,500.850006,377661,,2.09%
2020-04-22,512.549988,516,492.299988,501.25,501.25,359609,,0.08%
2020-04-23,503.399994,507.100006,491.149994,495.649994,495.649994,502996,,-1.13%
2020-04-24,494.049988,499,484.75,494.350006,494.350006,191326,,-0.26%
2020-04-27,499.5,502,491.700012,494.549988,494.549988,337723,,0.04%
2020-04-28,497,497,484.049988,485.700012,485.700012,1348453,,-1.82%
2020-04-29,493.799988,498.399994,487.549988,496.25,496.25,194428,,2.13%
2020-04-30,503.700012,515.799988,495.649994,514.349976,514.349976,434683,,3.52%
2020-05-04,510,540.049988,499,532.299988,532.299988,975688,,3.37%
2020-05-05,539.950012,553.5,526.049988,527.849976,527.849976,856677,,-0.84%
2020-05-06,533,551.349976,530.799988,546.049988,546.049988,726696,,3.33%
2020-05-07,546.799988,546.799988,524.599976,527.799988,527.799988,327050,,-3.46%
2020-05-08,539.849976,545.849976,528.5,530,530,312522,,0.42%
2020-05-11,535,548.400024,533,536.099976,536.099976,280942,,1.14%
2020-05-12,535,563.700012,531,559.650024,559.650024,598958,,4.21%
2020-05-13,569.849976,569.849976,549.400024,555.75,555.75,458271,,-0.70%
2020-05-14,551.5,562.549988,535.049988,539.650024,539.650024,309771,,-2.98%
2020-05-15,547.700012,557,540,554.099976,554.099976,275729,,2.61%
2020-05-18,558,559.150024,535.049988,539.5,539.5,500496,,-2.71%
2020-05-19,559,603,556.700012,599.150024,599.150024,2110314,,9.96%
2020-05-20,604,611.700012,588.650024,594.049988,594.049988,1168387,,-0.86%
2020-05-21,590.099976,604.650024,585.299988,594.25,594.25,545049,,0.03%
2020-05-22,595.5,597.200012,587.099976,593,593,411401,,-0.21%
2020-05-26,573.5,576,557.650024,559.150024,559.150024,172648871,,-6.05%
2020-05-27,561.049988,565.400024,554,563,563,684764,,0.68%
2020-05-28,565.5,567.900024,556.200012,562.700012,562.700012,435791,,-0.05%
2020-05-29,557,564,544,552.400024,552.400024,4877808,,-1.86%
2020-06-01,560,561.599976,550.200012,559.049988,559.049988,800454,,1.19%
2020-06-02,563.099976,572.099976,556.25,558,558,863673,,-0.19%
2020-06-03,566.5,567.599976,549.700012,551.700012,551.700012,507222,,-1.14%
2020-06-04,553.549988,585,549.799988,573.150024,573.150024,818083,,3.74%
2020-06-05,590,590,567.700012,584.900024,584.900024,1513499,,2.01%
2020-06-08,589.950012,593.700012,579.549988,584.75,584.75,838800,,-0.03%
2020-06-09,580,591.75,566,567.599976,567.599976,462101,,-3.02%
2020-06-10,570.049988,576,563.299988,567.25,567.25,474220,,-0.06%
2020-06-11,571.950012,573.700012,546.75,551.599976,551.599976,900061,,-2.84%
2020-06-12,544,562,540,559.900024,559.900024,637053,,1.48%
2020-06-15,557.950012,563.700012,549.150024,550.849976,550.849976,440945,,-1.64%
2020-06-16,556,559.299988,537,544.799988,544.799988,596160,,-1.11%
2020-06-17,547.799988,565.400024,541.75,563.5,563.5,470268,,3.32%
2020-06-18,561.599976,572.849976,558.150024,560.799988,560.799988,762557,,-0.48%
2020-06-19,563,577.950012,561.349976,571.450012,571.450012,332556,,1.86%
2020-06-22,576,587.900024,570.400024,580.549988,580.549988,589438,,1.57%
2020-06-23,582.200012,584.549988,574.75,578.450012,578.450012,268334,,-0.36%
2020-06-24,584.900024,584.900024,555,557.450012,557.450012,355185,,-3.77%
2020-06-25,550.049988,563.5,550,559.299988,559.299988,523357,,0.33%
2020-06-26,560,566.299988,557.75,560.299988,560.299988,372786,,0.18%
2020-06-29,560.299988,568.799988,551.200012,567.25,567.25,276083,,1.23%
