Date,Open,High,Low,Close,Adj Close,Volume,,Returns(Adj Close)
2020-04-01,2258,2275,2090.699951,2092.949951,2092.949951,14967,,
2020-04-03,2092,2125,2010,2087.100098,2087.100098,8910,,-0.28%
2020-04-07,2179,2191.449951,2100.25,2191.449951,2191.449951,119372,,4.76%
2020-04-08,2201,2301,2201,2299.649902,2299.649902,49358,,4.71%
2020-04-09,2397,2414.600098,2375.25,2408.300049,2408.300049,76055,,4.51%
2020-04-13,2345.5,2345.5,2287.899902,2287.899902,2287.899902,10920,,-5.26%
2020-04-15,2180,2319.949951,2173.949951,2181.899902,2181.899902,29877,,-4.86%
2020-04-16,2099,2222,2099,2141.100098,2141.100098,15024,,-1.91%
2020-04-17,2200.050049,2229.899902,2195.550049,2211.350098,2211.350098,7682,,3.18%
2020-04-20,2223,2283,2155,2257.449951,2257.449951,11171,,2.04%
2020-04-21,2209.449951,2280,2170,2237.199951,2237.199951,6809,,-0.91%
2020-04-22,2220,2314.899902,2205.199951,2292.699951,2292.699951,9946,,2.42%
2020-04-23,2292.699951,2345,2260.100098,2296.449951,2296.449951,15180,,0.16%
2020-04-24,2319,2345,2273.5,2311.399902,2311.399902,6704,,0.65%
2020-04-27,2319,2349,2275.100098,2317.800049,2317.800049,7818,,0.28%
2020-04-28,2312,2338,2290,2301.300049,2301.300049,4477,,-0.72%
2020-04-29,2320,2348.949951,2300,2328.699951,2328.699951,7601,,1.18%
2020-04-30,2329,2390,2329,2379.800049,2379.800049,9159,,2.15%
2020-05-04,2340,2340,2275,2284.550049,2284.550049,10215,,-4.17%
2020-05-05,2336,2336,2189.399902,2205.199951,2205.199951,6934,,-3.60%
2020-05-06,2250,2250,2124,2170.050049,2170.050049,11093,,-1.62%
2020-05-07,2190,2222,2133,2198.350098,2198.350098,6661,,1.29%
2020-05-08,2208,2275,2150,2248.850098,2248.850098,11759,,2.25%
2020-05-11,2299.5,2352,2261,2310.449951,2310.449951,9972,,2.67%
2020-05-12,2320,2349.449951,2262,2300.100098,2300.100098,10724,,-0.45%
2020-05-13,2368,2395,2300,2351.75,2351.75,13576,,2.20%
2020-05-14,2345,2359.699951,2310,2323.100098,2323.100098,6563,,-1.23%
2020-05-15,2334.899902,2338.75,2282.800049,2329.449951,2329.449951,5740,,0.27%
2020-05-18,2350,2362.5,2280,2306,2306,7412,,-1.02%
2020-05-19,2325,2355,2256.649902,2336.25,2336.25,4606,,1.29%
2020-05-20,2347,2453.050049,2310.050049,2453.050049,2453.050049,17218,,4.76%
2020-05-21,2448.800049,2530,2380,2470.5,2470.5,14774,,0.71%
2020-05-22,2485,2518,2395.050049,2402.550049,2402.550049,18747,,-2.83%
2020-05-26,2350,2390,2282.449951,2290.399902,2290.399902,31359,,-4.90%
2020-05-27,2260,2265,2176.149902,2200.449951,2200.449951,54015,,-4.09%
2020-05-28,2224,2310.449951,2205,2308.199951,2308.199951,44419,,4.67%
2020-05-29,2330,2366.149902,2232,2265.899902,2265.899902,59424,,-1.87%
2020-06-01,2334,2334,2284.75,2304.75,2304.75,18432,,1.69%
2020-06-02,2315,2390,2291,2381.149902,2381.149902,28735,,3.21%
2020-06-03,2392.100098,2450,2331,2353.300049,2353.300049,28392,,-1.18%
2020-06-04,2383,2432.600098,2320,2415.850098,2415.850098,23238,,2.59%
2020-06-05,2430,2522.949951,2430,2496.949951,2496.949951,47066,,3.25%
2020-06-08,2503,2526.800049,2415,2457.199951,2457.199951,26015,,-1.62%
2020-06-09,2462,2470.949951,2370.100098,2391.600098,2391.600098,28372,,-2.74%
2020-06-10,2410,2430.949951,2361.25,2387.25,2387.25,14387,,-0.18%
2020-06-11,2390,2422.699951,2365,2405.649902,2405.649902,15752,,0.76%
2020-06-12,2338,2434.850098,2310,2398.5,2398.5,20063,,-0.30%
2020-06-15,2400,2422,2340.050049,2371,2371,15762,,-1.16%
2020-06-16,2390,2434,2354,2400.899902,2400.899902,40378,,1.25%
2020-06-17,2372,2401.850098,2325,2340.25,2340.25,222697,,-2.59%
2020-06-18,2342,2366.350098,2330,2348.699951,2348.699951,11806,,0.36%
2020-06-19,2383.699951,2399,2315.050049,2357.899902,2357.899902,28714,,0.39%
2020-06-22,2370,2399,2340.949951,2352.850098,2352.850098,16257,,-0.21%
2020-06-23,2352.850098,2374,2340.949951,2358.899902,2358.899902,20736,,0.26%
2020-06-24,2395,2423.899902,2342.550049,2356.100098,2356.100098,83095,,-0.12%
2020-06-25,2350.199951,2355,2298.050049,2306.399902,2306.399902,25269,,-2.15%
2020-06-26,2340,2340,2290,2295.449951,2295.449951,24318,,-0.48%
2020-06-29,2295,2333.649902,2275,2293.100098,2293.100098,31196,,-0.10%
