Date,Open,High,Low,Close,Adj Close,Volume,,Returns(Adj Close)
2020-04-01,869.900024,869.900024,820,829.700012,829.700012,737855,,
2020-04-03,841,846.549988,810,813.5,813.5,610898,,-1.99%
2020-04-07,876,906.049988,846,896.349976,896.349976,1172817,,9.24%
2020-04-08,887.5,945,866.700012,888.950012,888.950012,1022837,,-0.83%
2020-04-09,911.099976,930.099976,890.299988,924.299988,924.299988,799130,,3.82%
2020-04-13,939,945.700012,887,895.450012,895.450012,700611,,-3.22%
2020-04-15,929,929.75,843.349976,863.450012,863.450012,1124232,,-3.71%
2020-04-16,863,889.599976,856.099976,881.049988,881.049988,806676,,2.00%
2020-04-17,912.849976,920.849976,887.900024,910.400024,910.400024,2840770,,3.22%
2020-04-20,952.25,960.849976,936.099976,946,946,2003508,,3.76%
2020-04-21,928,934.349976,908.200012,920.75,920.75,613947,,-2.74%
2020-04-22,918,932.650024,907.299988,928.400024,928.400024,429763,,0.82%
2020-04-23,938.799988,958.5,913.299988,954.75,954.75,790591,,2.76%
2020-04-24,935,957.950012,926.099976,937.650024,937.650024,535291,,-1.82%
2020-04-27,940.549988,957.599976,926.75,929.849976,929.849976,411563,,-0.84%
2020-04-28,941.700012,943.099976,922.599976,931.400024,931.400024,571379,,0.17%
2020-04-29,940,992.400024,933,976.75,976.75,926910,,4.64%
2020-04-30,1001,1018.900024,992.25,1001.75,1001.75,728396,,2.50%
2020-05-04,964,964,918,923.049988,923.049988,680150,,-8.53%
2020-05-05,939,944.400024,908,911.650024,911.650024,598519,,-1.25%
2020-05-06,919.700012,950,905,946.299988,946.299988,893645,,3.66%
2020-05-07,945,945,922.799988,924.950012,924.950012,333934,,-2.31%
2020-05-08,942,943.049988,926,928.950012,928.950012,543855,,0.43%
2020-05-11,939,954,914.299988,915.950012,915.950012,2910463,,-1.42%
2020-05-12,901.450012,909,871.549988,901.150024,901.150024,1408286,,-1.64%
2020-05-13,964,964,922.150024,927.450012,927.450012,682671,,2.84%
2020-05-14,899.799988,910.5,890,893.900024,893.900024,566461,,-3.75%
2020-05-15,898,898,875.5,888.200012,888.200012,649460,,-0.64%
2020-05-18,888.599976,888.599976,831.25,836.400024,836.400024,1390096,,-6.19%
2020-05-19,858.700012,867.25,826,831.5,831.5,770197,,-0.59%
2020-05-20,835.400024,864,832.549988,858,858,601130,,3.09%
2020-05-21,861.200012,884.049988,852.400024,859.799988,859.799988,1357769,,0.21%
2020-05-22,850.099976,870.349976,833.299988,838.900024,838.900024,898221,,-2.49%
2020-05-26,850,871.799988,848.900024,853.349976,853.349976,1235077,,1.69%
2020-05-27,861,908.049988,857.349976,903.799988,903.799988,878059,,5.58%
2020-05-28,917.599976,950,913.5,945.049988,945.049988,1453812,,4.36%
2020-05-29,948,955,923.450012,951.25,951.25,1724302,,0.65%
2020-06-01,970,995,968.5,986.900024,986.900024,577537,,3.61%
2020-06-02,988,1005,975.400024,1000.900024,1000.900024,685663,,1.40%
2020-06-03,1010,1045,1010,1022.099976,1022.099976,630019,,2.07%
2020-06-04,1026,1039.449951,991.150024,1003.25,1003.25,793208,,-1.88%
2020-06-05,1003,1041.800049,1002.349976,1034.75,1034.75,572133,,3.04%
2020-06-08,1051,1066.800049,1006.599976,1015.450012,1015.450012,1677455,,-1.90%
2020-06-09,1023.900024,1025,979.349976,986.950012,986.950012,706114,,-2.89%
2020-06-10,988.200012,1000,978.400024,991.799988,991.799988,1176521,,0.49%
2020-06-11,989,989,965.099976,968.650024,968.650024,494738,,-2.39%
2020-06-12,929,986.450012,928,983,983,737606,,1.46%
2020-06-15,972.400024,973.299988,942.650024,950.799988,950.799988,922866,,-3.39%
2020-06-16,973,993.450012,952.049988,990.349976,990.349976,1421931,,3.99%
2020-06-17,986.549988,998.450012,974.049988,980.900024,980.900024,822825,,-0.96%
2020-06-18,980,1024.900024,972.25,1019.75,1019.75,1170646,,3.81%
2020-06-19,1022,1042.699951,1013.150024,1033.650024,1033.650024,717999,,1.34%
2020-06-22,1023,1045.199951,1023,1028.5,1028.5,763426,,-0.50%
2020-06-23,1035,1045,1016.349976,1040.849976,1040.849976,621513,,1.19%
2020-06-24,1045.849976,1057.650024,1029.699951,1032.400024,1032.400024,570032,,-0.82%
2020-06-25,1015,1049,1007.25,1028.949951,1028.949951,807420,,-0.34%
2020-06-26,1040,1062.5,1027.650024,1055.599976,1055.599976,601584,,2.52%
2020-06-29,1033,1082,1033,1076.400024,1076.400024,1727403,,1.93%
