Date,Open,High,Low,Close,Adj Close,Volume,,Returns(Adj Close)
2020-04-01,320,323.450012,308.299988,311.450012,311.450012,2295791,,
2020-04-03,311,311,281.600006,286.5,286.5,1967226,,-8.71%
2020-04-07,306.299988,329.450012,296.950012,326.100006,326.100006,2360529,,12.14%
2020-04-08,320,352.5,315.200012,319,319,3516331,,-2.23%
2020-04-09,330,344.950012,322.700012,342.649994,342.649994,1910143,,6.90%
2020-04-13,339.950012,345.799988,329.450012,330.850006,330.850006,1487482,,-3.57%
2020-04-15,341.049988,351.899994,325.049988,327.299988,327.299988,2649299,,-1.08%
2020-04-16,325,347.600006,319.350006,342.100006,342.100006,2083365,,4.33%
2020-04-17,358,389.700012,349.100006,375.950012,375.950012,2957997,,9.00%
2020-04-20,377.399994,378.899994,357.200012,361.5,361.5,1991220,,-4.00%
2020-04-21,340,346.299988,328.25,331.549988,331.549988,3916196,,-9.03%
2020-04-22,327.399994,338,323,336.100006,336.100006,2655360,,1.35%
2020-04-23,338.299988,354.600006,338.299988,352.799988,352.799988,2045507,,4.73%
2020-04-24,339.399994,343.049988,331.649994,334.850006,334.850006,1603973,,-5.36%
2020-04-27,339.100006,352.799988,338.299988,347.75,347.75,1232276,,3.71%
2020-04-28,353.700012,362.75,350.299988,359.700012,359.700012,1173070,,3.32%
2020-04-29,354.799988,376.399994,351.75,370.25,370.25,1386192,,2.85%
2020-04-30,380.399994,392.799988,374.399994,379.899994,379.899994,1243132,,2.54%
2020-05-04,361.399994,361.399994,336.049988,338.25,338.25,1510994,,-12.31%
2020-05-05,348,348.299988,329.649994,330.850006,330.850006,2240054,,-2.24%
2020-05-06,330,345.399994,325.299988,341.399994,341.399994,1305155,,3.09%
2020-05-07,337.950012,342.850006,334.100006,336.75,336.75,742760,,-1.38%
2020-05-08,344,352.5,333.75,337.75,337.75,1558394,,0.30%
2020-05-11,344.899994,344.899994,318.149994,320.100006,320.100006,3216480,,-5.51%
2020-05-12,319.850006,324.5,308.149994,321.399994,321.399994,2139610,,0.40%
2020-05-13,344.399994,348.399994,332.399994,337.600006,337.600006,2881324,,4.80%
2020-05-14,331,334.399994,325.75,327.450012,327.450012,1384813,,-3.10%
2020-05-15,329.700012,330.450012,318.799988,322.649994,322.649994,911432,,-1.49%
2020-05-18,320.899994,320.899994,293.5,298.649994,298.649994,2359301,,-8.04%
2020-05-19,305.5,311.700012,297.149994,300.399994,300.399994,1835332,,0.58%
2020-05-20,298,308.149994,298,306.100006,306.100006,1383114,,1.86%
2020-05-21,306.799988,312.799988,302.100006,304.350006,304.350006,1304984,,-0.57%
2020-05-22,301.350006,307.5,285.700012,291.200012,291.200012,2544460,,-4.52%
2020-05-26,295.399994,297.799988,290,292.549988,292.549988,1162197,,0.46%
2020-05-27,295.850006,321.799988,295.049988,318.799988,318.799988,2369853,,8.23%
2020-05-28,322.899994,329.700012,321,326.75,326.75,1827449,,2.43%
2020-05-29,323.049988,334.200012,320,332.100006,332.100006,3607234,,1.61%
2020-06-01,338.200012,348,336.350006,339,339,1691066,,2.04%
2020-06-02,337.100006,350,332.450012,348.5,348.5,1659289,,2.73%
2020-06-03,356.299988,372.950012,353.700012,356.649994,356.649994,2132167,,2.29%
2020-06-04,355.399994,363,345.450012,347.850006,347.850006,1831626,,-2.53%
2020-06-05,349.899994,360,347.100006,357.25,357.25,1199877,,2.63%
2020-06-08,365.100006,373.850006,353.299988,360.100006,360.100006,1895667,,0.79%
2020-06-09,360.75,369.100006,345.200012,348.75,348.75,1459958,,-3.25%
2020-06-10,349,356.700012,345.399994,353.399994,353.399994,1229912,,1.32%
2020-06-11,352.200012,354.200012,340.100006,341.149994,341.149994,1232322,,-3.59%
2020-06-12,323.200012,346.100006,323.200012,344.25,344.25,1572761,,0.90%
2020-06-15,341.75,341.75,325.399994,330.899994,330.899994,1871666,,-4.03%
2020-06-16,341.600006,347.850006,326.549988,342.799988,342.799988,2010363,,3.47%
2020-06-17,338.5,350.850006,335.899994,342.149994,342.149994,1394244,,-0.19%
2020-06-18,340,354.549988,337.25,352,352,1978976,,2.80%
2020-06-19,351.5,365.200012,349.25,363.899994,363.899994,2655225,,3.27%
2020-06-22,366,375.25,365.350006,367.799988,367.799988,2563347,,1.06%
2020-06-23,370.5,378.200012,364.100006,376.049988,376.049988,1801167,,2.19%
2020-06-24,379.149994,380,345,348.399994,348.399994,2071990,,-7.94%
2020-06-25,340.049988,355.549988,338.549988,351.149994,351.149994,3128306,,0.78%
2020-06-26,356.399994,358.399994,346.100006,349,349,1858142,,-0.62%
2020-06-29,346,346,338.5,343.149994,343.149994,1086806,,-1.70%
