Date,Open,High,Low,Close,Adj Close,Volume,,Returns(Adj Close)
2020-04-01,640,640,594.25,604.099976,595.985535,825328,,
2020-04-03,604.099976,606.650024,582.349976,585.450012,577.58606,327035,,-3.19%
2020-04-07,611.900024,643.950012,611.900024,641.099976,632.488525,418888,,8.68%
2020-04-08,628.200012,655.200012,626.75,631.700012,623.214783,588592,,-1.49%
2020-04-09,648.900024,652.75,632.700012,637.599976,629.035522,547723,,0.93%
2020-04-13,630,651.599976,627,637.099976,628.542236,274101,,-0.08%
2020-04-15,645,652.799988,635.700012,639.150024,630.564758,794120,,0.32%
2020-04-16,622.849976,634.299988,604,624.200012,615.815552,402658,,-2.40%
2020-04-17,640,646,626.049988,629.299988,620.847046,221622,,0.81%
2020-04-20,640,660.700012,639.299988,652.900024,644.130066,455876,,3.61%
2020-04-21,632,646.5,627.700012,633.049988,624.546631,265764,,-3.14%
2020-04-22,633.200012,645.299988,628.099976,642.049988,633.425781,166193,,1.40%
2020-04-23,649,683,638.5,678.450012,669.336853,1541355,,5.37%
2020-04-24,674.400024,674.900024,655.650024,658.299988,649.45752,263300,,-3.06%
2020-04-27,660,680.849976,660,664.25,655.327576,134910,,0.90%
2020-04-28,673,676.650024,653.650024,661.049988,652.170532,201758,,-0.48%
2020-04-29,667.799988,681.700012,658.099976,677.700012,668.596924,199318,,2.46%
2020-04-30,696,719.799988,696,716.200012,706.579773,430782,,5.38%
2020-05-04,694.549988,700.950012,670.450012,673.75,664.699951,202813,,-6.30%
2020-05-05,681.150024,685.5,670.099976,674.25,665.193237,120580,,0.07%
2020-05-06,679.700012,681.299988,664.25,666.200012,657.251404,162251,,-1.21%
2020-05-07,666.099976,674.099976,663.049988,665.049988,656.116821,93599,,-0.17%
2020-05-08,672.900024,680.950012,668.599976,674.650024,665.587891,158605,,1.42%
2020-05-11,680,698.400024,677.700012,682.75,673.579102,147260,,1.19%
2020-05-12,678,691,675.5,687.75,678.511902,156715,,0.73%
2020-05-13,700,700,684.599976,693.900024,684.579346,192736,,0.89%
2020-05-14,664,671.650024,654.049988,658.099976,649.260193,472186,,-5.44%
2020-05-15,665.5,665.5,647,652.299988,643.538086,310061,,-0.89%
2020-05-18,664,670.450012,653.900024,663.599976,654.686279,251322,,1.70%
2020-05-19,665.900024,674.700012,655.900024,668.950012,659.964478,254650,,0.80%
2020-05-20,666.549988,673.200012,659.799988,670.200012,661.197693,230449,,0.19%
2020-05-21,668.400024,679.700012,665.299988,672,662.97345,217317,,0.27%
2020-05-22,672.150024,695.25,672.150024,692.25,682.951477,300974,,2.93%
2020-05-26,695,699.599976,678.950012,680.150024,671.014038,208176,,-1.78%
2020-05-27,682.75,708.900024,675.099976,705.299988,695.826172,1274033,,3.57%
2020-05-28,706.099976,709.900024,690,707.25,697.75,543370,,0.28%
2020-05-29,697,700.700012,680.400024,691.349976,691.349976,582952,,-0.93%
2020-06-01,696.549988,706.650024,692,699.5,699.5,352265,,1.17%
2020-06-02,699.900024,711.650024,698.299988,708.049988,708.049988,288345,,1.21%
2020-06-03,713,713,696.5,701.349976,701.349976,251762,,-0.96%
2020-06-04,702,709.75,697.650024,707.799988,707.799988,538192,,0.91%
2020-06-05,708,711.849976,700.650024,703.75,703.75,268996,,-0.58%
2020-06-08,708.950012,725.650024,704.400024,720.549988,720.549988,922283,,2.33%
2020-06-09,721.900024,729.400024,715.299988,717.75,717.75,520552,,-0.39%
2020-06-10,715,719.400024,709.599976,715.849976,715.849976,214885,,-0.27%
2020-06-11,713.849976,716.200012,700.450012,703.599976,703.599976,467025,,-1.74%
2020-06-12,680,694.799988,675.049988,692.099976,692.099976,513795,,-1.66%
2020-06-15,695,704.150024,685.450012,687.25,687.25,288823,,-0.71%
2020-06-16,701,711.799988,699.150024,700.950012,700.950012,720249,,1.95%
2020-06-17,700.700012,710.200012,698.5,703.599976,703.599976,160592,,0.38%
2020-06-18,704,716.700012,704,713.849976,713.849976,375820,,1.44%
2020-06-19,713,713,701.099976,705.650024,705.650024,633929,,-1.16%
2020-06-22,704.5,708.5,700,703.650024,703.650024,345887,,-0.28%
2020-06-23,696.799988,724.299988,692.299988,720.450012,720.450012,388008,,2.33%
2020-06-24,719.950012,726.75,709.549988,714.200012,714.200012,837006,,-0.88%
2020-06-25,705,705.400024,693.049988,699.599976,699.599976,633979,,-2.09%
2020-06-26,706.900024,750.900024,706.900024,748.150024,748.150024,821530,,6.49%
2020-06-29,738.75,744.549988,730,731.450012,731.450012,327676,,-2.28%
