Date,Open,High,Low,Close,Adj Close,Volume,,Returns(Adj Close)
2020-04-01,1291.099976,1292,1157.050049,1182.099976,1182.099976,434613,,
2020-04-03,1183,1183.650024,1090.199951,1140,1140,360612,,-3.69%
2020-04-07,1223.900024,1229.949951,1170.449951,1196.949951,1196.949951,222392,,4.76%
2020-04-08,1180,1242.150024,1161,1187.599976,1187.599976,361578,,-0.79%
2020-04-09,1190,1306.349976,1190,1276.800049,1276.800049,250440,,6.99%
2020-04-13,1256.849976,1257.599976,1216.800049,1251.25,1251.25,118574,,-2.04%
2020-04-15,1269.449951,1270,1154.099976,1173.300049,1173.300049,358215,,-6.64%
2020-04-16,1168,1168,1114.699951,1130.349976,1130.349976,450111,,-3.80%
2020-04-17,1181.550049,1197.25,1134.400024,1186.449951,1186.449951,523823,,4.73%
2020-04-20,1218,1224.5,1172.650024,1177.550049,1177.550049,216926,,-0.76%
2020-04-21,1142.099976,1155,1125.099976,1130.449951,1130.449951,126083,,-4.17%
2020-04-22,1122,1166,1108,1151,1151,665885,,1.79%
2020-04-23,1174,1252.800049,1157,1249.849976,1249.849976,346585,,7.91%
2020-04-24,1224.699951,1257.900024,1214.349976,1240.199951,1240.199951,167219,,-0.78%
2020-04-27,1240,1324.349976,1240,1304.050049,1304.050049,244568,,4.90%
2020-04-28,1312,1336.400024,1311.650024,1326.099976,1326.099976,154660,,1.66%
2020-04-29,1332,1350.050049,1315.550049,1326.900024,1326.900024,125946,,0.06%
2020-04-30,1354,1379.900024,1335,1356.949951,1356.949951,205941,,2.21%
2020-05-04,1300,1306.400024,1264.349976,1277.849976,1277.849976,95517,,-6.19%
2020-05-05,1295,1304,1225.5,1239.449951,1239.449951,234975,,-3.10%
2020-05-06,1240,1276.449951,1214.900024,1245.400024,1245.400024,169681,,0.48%
2020-05-07,1248.650024,1248.650024,1184.650024,1199.5,1199.5,227464,,-3.83%
2020-05-08,1227.699951,1243.150024,1211.699951,1218.650024,1218.650024,225013,,1.57%
2020-05-11,1240,1251.349976,1185,1189.050049,1189.050049,838831,,-2.49%
2020-05-12,1176.25,1178,1136.699951,1159.25,1159.25,320567,,-2.57%
2020-05-13,1219.800049,1220.849976,1173.949951,1186.5,1186.5,452068,,2.30%
2020-05-14,1180,1213,1169.849976,1173.75,1173.75,264820,,-1.09%
2020-05-15,1184,1189.550049,1154,1177.849976,1177.849976,116437,,0.35%
2020-05-18,1183.699951,1183.699951,1110,1113.449951,1113.449951,218783,,-5.78%
2020-05-19,1155,1169.349976,1125.25,1130.650024,1130.650024,144853,,1.52%
2020-05-20,1125,1177.650024,1116.349976,1163.25,1163.25,120124,,2.80%
2020-05-21,1170,1189.300049,1143.650024,1149.800049,1149.800049,133157,,-1.17%
2020-05-22,1134,1167,1117,1160.25,1160.25,246650,,0.90%
2020-05-26,1165,1174.5,1145.25,1152.449951,1152.449951,172638,,-0.68%
2020-05-27,1164.949951,1242.550049,1163.25,1216.75,1216.75,275875,,5.28%
2020-05-28,1232.800049,1254.550049,1202.050049,1228.349976,1228.349976,493404,,0.94%
2020-05-29,1214,1229.400024,1200.550049,1223.699951,1223.699951,596023,,-0.38%
2020-06-01,1270,1279.199951,1241.099976,1249.25,1249.25,199046,,2.05%
2020-06-02,1320,1352.550049,1299.400024,1343.199951,1343.199951,56675895,,6.99%
2020-06-03,1355,1428,1343,1387.599976,1387.599976,371813,,3.20%
2020-06-04,1380.199951,1380.199951,1330.550049,1333.800049,1333.800049,183982,,-4.03%
2020-06-05,1341,1358,1321.800049,1339.599976,1339.599976,215800,,0.43%
2020-06-08,1347,1364.75,1315,1337.699951,1337.699951,161972,,-0.14%
2020-06-09,1337.699951,1360.199951,1298.699951,1303.75,1303.75,155342,,-2.60%
2020-06-10,1354.599976,1354.599976,1305.150024,1334.25,1334.25,182446,,2.29%
2020-06-11,1334.25,1334.25,1290,1298.650024,1298.650024,132691,,-2.74%
2020-06-12,1249.5,1289,1233,1279.550049,1279.550049,192224,,-1.49%
2020-06-15,1270,1272.949951,1237.25,1249.550049,1249.550049,138530,,-2.40%
2020-06-16,1275.150024,1295.949951,1238.449951,1276.849976,1276.849976,1510832,,2.14%
2020-06-17,1265.050049,1284.400024,1236.900024,1241,1241,1442551,,-2.89%
2020-06-18,1235,1309.849976,1228.150024,1303.349976,1303.349976,194014,,4.78%
2020-06-19,1306.949951,1315,1278.050049,1302,1302,1298337,,-0.10%
2020-06-22,1313,1384.5,1298.199951,1355.849976,1355.849976,675955,,3.97%
2020-06-23,1353,1395,1350,1389.599976,1389.599976,174818,,2.43%
2020-06-24,1393,1397.300049,1337,1345.5,1345.5,180551,,-3.28%
2020-06-25,1330,1389.099976,1325,1382.449951,1382.449951,235314,,2.67%
2020-06-26,1380,1381,1327.199951,1340.949951,1340.949951,291374,,-3.09%
2020-06-29,1340,1366.599976,1313.550049,1357.949951,1357.949951,222383,,1.25%
