Date,Open,High,Low,Close,Adj Close,Volume,,Returns(Adj Close)
2020-04-01,1116.199951,1124.949951,1044.75,1080.650024,1076.608276,825411,,
2020-04-03,1130,1131.599976,1057,1078.199951,1074.167358,1473406,,-0.23%
2020-04-07,1106,1213.699951,1101,1206.400024,1201.887939,1246979,,10.63%
2020-04-08,1175,1228.949951,1161.849976,1192.150024,1187.691284,1072376,,-1.20%
2020-04-09,1211.199951,1232.75,1193.25,1219.199951,1214.640015,624780,,2.22%
2020-04-13,1208,1215,1180,1189.25,1184.802002,445919,,-2.52%
2020-04-15,1201,1235.949951,1142.699951,1150.050049,1145.748657,834155,,-3.41%
2020-04-16,1146.599976,1187.349976,1146.599976,1168.699951,1164.328857,592064,,1.60%
2020-04-17,1220,1229.900024,1192.699951,1225.050049,1220.46814,559314,,4.60%
2020-04-20,1226.5,1257,1202.300049,1244.449951,1239.795532,796389,,1.56%
2020-04-21,1208.099976,1252.550049,1164.449951,1236.050049,1231.427002,1147259,,-0.68%
2020-04-22,1320,1384.699951,1300,1363.349976,1358.250854,2629550,,9.34%
2020-04-23,1369.699951,1385.849976,1354.25,1371.5,1366.370361,1465213,,0.59%
2020-04-24,1354.900024,1495,1348,1417.349976,1412.04895,2452068,,3.23%
2020-04-27,1440,1474.550049,1422.949951,1430.300049,1424.950562,1152767,,0.91%
2020-04-28,1451.400024,1454.75,1391.949951,1428.099976,1422.758667,1301548,,-0.15%
2020-04-29,1446,1453.050049,1420.5,1426.199951,1420.865723,642967,,-0.13%
2020-04-30,1440.290039,1480.410034,1426.430054,1453.219971,1447.78479,1289280,,1.86%
2020-05-04,1428.410034,1451.089966,1406.369995,1421.869995,1416.552002,988171,,-2.20%
2020-05-05,1437.369995,1464.859985,1433.359985,1447.22998,1441.817139,662807,,1.75%
2020-05-06,1448.219971,1470.01001,1432.369995,1447.869995,1442.454712,696700,,0.04%
2020-05-07,1436.329956,1499.430054,1431.280029,1493.040039,1487.455933,1001261,,3.03%
2020-05-08,1535.390015,1564.810059,1523.109985,1547.079956,1541.293701,1445996,,3.49%
2020-05-11,1567.089966,1599.630005,1557.180054,1561.890015,1556.04834,1076498,,0.95%
2020-05-12,1563.130005,1563.130005,1441.280029,1466.300049,1460.815918,2892916,,-6.52%
2020-05-13,1534.75,1534.75,1454,1496.400024,1490.803345,1489557,,2.01%
2020-05-14,1472,1496.400024,1430.050049,1435.449951,1430.081177,795955,,-4.25%
2020-05-15,1445.699951,1467,1415.550049,1458.900024,1453.443604,953907,,1.61%
2020-05-18,1471.800049,1482,1428,1440.650024,1435.261841,1308019,,-1.27%
2020-05-19,1461.900024,1461.900024,1404,1408.150024,1402.883301,714335,,-2.31%
2020-05-20,1407.300049,1445.849976,1393.650024,1434.650024,1429.284302,907872,,1.85%
2020-05-21,1438,1460.849976,1425.349976,1440.050049,1434.664063,558823,,0.37%
2020-05-22,1454.800049,1458.5,1426.800049,1431.599976,1426.245605,579294,,-0.59%
2020-05-26,1439.400024,1449,1416.300049,1423.699951,1418.375122,468721,,-0.55%
2020-05-27,1434,1454.099976,1412.199951,1446.949951,1441.538208,627533,,1.61%
2020-05-28,1455,1479.199951,1450.550049,1472.650024,1467.14209,641847,,1.75%
2020-05-29,1470.699951,1471.5,1453,1465.199951,1459.719971,590240,,-0.51%
2020-06-01,1480,1539.199951,1475.650024,1520.449951,1514.763306,1016979,,3.63%
2020-06-02,1521,1540,1521,1536.099976,1530.354736,418550,,1.02%
2020-06-03,1545,1559,1533.25,1542.449951,1536.68103,444528,,0.41%
2020-06-04,1540,1589,1540,1579.949951,1574.040771,710718,,2.37%
2020-06-05,1601.900024,1617.699951,1574.300049,1580.599976,1574.688354,658406,,0.04%
2020-06-08,1624,1624,1565.050049,1570.050049,1564.177856,1111940,,-0.67%
2020-06-09,1580,1582.349976,1533.050049,1537.099976,1531.351074,504634,,-2.14%
2020-06-10,1541.099976,1579,1540.599976,1572,1566.120483,421611,,2.22%
2020-06-11,1569,1569,1530.949951,1537.5,1531.749512,330910,,-2.24%
2020-06-12,1495,1593,1495,1588.800049,1582.857788,772239,,3.23%
2020-06-15,1577,1626.699951,1561.550049,1615,1608.959717,1125400,,1.62%
2020-06-16,1641.5,1647.849976,1585.150024,1617.5,1611.450317,1267703,,0.15%
2020-06-17,1608,1634.949951,1602,1615.400024,1609.358154,890838,,-0.13%
2020-06-18,1605.550049,1665,1605.550049,1656.25,1650.05542,1013987,,2.47%
2020-06-19,1674.699951,1788.599976,1660.599976,1759.5,1752.919189,2929255,,5.87%
2020-06-22,1775.050049,1804.099976,1734.849976,1747.199951,1740.665161,2036832,,-0.70%
2020-06-23,1754,1764.150024,1715.800049,1720.050049,1713.616821,1353529,,-1.58%
2020-06-24,1739.800049,1772,1712.599976,1727.349976,1720.889404,1358724,,0.42%
2020-06-25,1729,1749,1713.849976,1717.949951,1711.524536,654657,,-0.55%
2020-06-26,1730.349976,1751.5,1717.199951,1742.599976,1736.082397,1385178,,1.41%
2020-06-29,1728,1738.900024,1715,1723.150024,1716.7052,670107,,-1.13%
